theme_id	zh	业务线	P	国家级	北京市	天津市	上海市	重庆市	江苏省	浙江省	广东省	山东省	福建省	安徽省	河北省	山西省	内蒙古自治区	辽宁省	吉林省	黑龙江省	江西省	河南省	湖北省	湖南省	广西壮族自治区	海南省	四川省	贵州省	云南省	西藏自治区	陕西省	甘肃省	青海省	宁夏回族自治区	新疆维吾尔自治区
v2g	V2G(车网互动)	充电+电力	P0	16	1	1	6	7	0	0	1	6	1	1	0	2	0	3	2	0	3	1	0	4	1	2	0	0	1	0	4	0	0	0	0
vpp_theme	虚拟电厂	电力(需响)	P0	42	6	2	6	10	0	1	5	13	4	4	1	4	0	1	1	3	5	7	0	5	4	2	2	3	1	0	6	0	2	4	0
energy_storage_theme	新型储能	电力	P0	49	5	4	8	12	0	2	4	12	3	0	2	5	1	10	2	3	6	8	0	9	4	3	3	5	1	0	3	0	6	5	1
gas_station_transition_theme	加油站转型	加油(长期出路)	P0	6	1	0	2	3	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0
equipment_renewal_theme	设备更新与以旧换新	充电(桩端补贴)	P0	32	12	0	17	6	1	2	2	0	4	0	0	6	0	3	0	3	1	4	0	1	1	1	1	0	1	0	0	0	2	0	0
green_power_trading_theme	绿电交易	电力+充电	P0	37	1	2	6	8	0	2	2	10	3	0	0	2	0	3	0	0	2	7	0	4	3	1	1	1	1	0	4	0	1	2	1
charging_infra	充电基础设施	充电	P0	27	8	2	6	13	0	1	0	7	1	4	0	1	1	6	3	0	4	2	0	5	2	2	1	1	1	0	7	0	0	2	0
power_market	电力市场	电力(交易)	P0	70	5	4	5	13	0	3	9	17	2	6	1	12	1	10	0	6	10	15	0	8	10	3	3	5	1	0	10	0	8	4	2
carbon_market_theme	碳市场	电力(CCER)	P0	23	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
petroleum_retail_compliance	加油零售/平台合规	加油(合规底线)	P0	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
residential_charging	居住区充电(私桩/统建统营)	充电(住宅市场)	P0	12	1	1	4	3	0	0	2	0	1	2	0	0	0	4	2	0	2	1	0	3	1	1	0	2	1	0	3	0	0	1	0
distribution_grid_opening	配电网开放/增量配电	电力(VPP/储能接入前置)	P0	51	2	3	6	6	0	2	2	6	3	1	1	4	1	10	2	4	6	12	0	6	12	6	1	5	1	0	11	0	6	1	1
aggregator_access	聚合商/负荷聚合商准入	电力(VPP/V2G 商业化前提)	P0	20	4	0	1	4	0	2	3	9	2	2	1	0	0	1	1	2	3	7	0	4	3	2	2	1	0	0	3	0	3	1	1
